biochemical.chemicalFormula	biochemical.clearance	biochemical.halfLife	biochemical.molecularWeight	biochemical.smiles	biochemical.state	biochemical.volumeOfDistribution	enzymes.PIds	enzymes.genes	enzymes.names	externalLinks	externalLinks.BindingDB	externalLinks.ChEBI	externalLinks.ChEMBL	externalLinks.ChemSpider	externalLinks.Drugs.com	externalLinks.Guide to Pharmacology	externalLinks.Human Metabolome Database	externalLinks.KEGG Compound	externalLinks.KEGG Drug	externalLinks.PDBe Ligand	externalLinks.PDRhealth	externalLinks.PharmGKB	externalLinks.PubChem Compound	externalLinks.PubChem Substance	externalLinks.RxList	externalLinks.RxNav	externalLinks.Therapeutic Targets Database	externalLinks.Wikipedia	externalLinks.ZINC	general.brandNames	general.genericName	general.groups	general.id	general.inChI	general.inChIKey	general.maxPhase	general.summary	general.toxicity	general.type	pathways.links	pathways.names	propertiesAdmet	propertiesAdmet.Ames test	propertiesAdmet.Biodegradation	propertiesAdmet.Blood Brain Barrier	propertiesAdmet.CYP450 1A2 substrate	propertiesAdmet.CYP450 2C19 inhibitor	propertiesAdmet.CYP450 2C9 inhibitor	propertiesAdmet.CYP450 2C9 substrate	propertiesAdmet.CYP450 2D6 inhibitor	propertiesAdmet.CYP450 2D6 substrate	propertiesAdmet.CYP450 3A4 inhibitor	propertiesAdmet.CYP450 3A4 substrate	propertiesAdmet.CYP450 inhibitory promiscuity	propertiesAdmet.Caco-2 permeable	propertiesAdmet.Carcinogenicity	propertiesAdmet.Human Intestinal Absorption	propertiesAdmet.P-glycoprotein inhibitor I	propertiesAdmet.P-glycoprotein inhibitor II	propertiesAdmet.P-glycoprotein substrate	propertiesAdmet.Rat acute toxicity	propertiesAdmet.Renal organic cation transporter	propertiesAdmet.hERG inhibition (predictor I)	propertiesAdmet.hERG inhibition (predictor II)	propertiesExperimental	propertiesExperimental.Caco2 permeability	propertiesExperimental.Radioactivity (mCi/mL)	propertiesExperimental.boiling point (°C)	propertiesExperimental.logP	propertiesExperimental.logS	propertiesExperimental.melting point (°C)	propertiesExperimental.pKa	propertiesExperimental.water solubility	propertiesPredicted.Bioavailability	propertiesPredicted.Ghose Filter	propertiesPredicted.Hydrogen Acceptor Count	propertiesPredicted.Hydrogen Donor Count	propertiesPredicted.MDDR-like Rule	propertiesPredicted.Number of Rings	propertiesPredicted.Physiological Charge	propertiesPredicted.Polar Surface Area	propertiesPredicted.Polarizability	propertiesPredicted.Refractivity	propertiesPredicted.Rotatable Bond Count	propertiesPredicted.Rule of Five	propertiesPredicted.Veber's Rule	propertiesPredicted.Water Solubility	propertiesPredicted.logP	propertiesPredicted.logS	propertiesPredicted.pKa (Strongest Acidic)	propertiesPredicted.pKa (Strongest Basic)	targets.PIds	targets.genes	targets.names
C26H37N5O2	renal cl=0,008 L/minnonrenal cl=3.2 L/min	The elimination half-life is estimated from urinary data of 12 healthy subjects to range between 63 to 69 hours.	451.6043	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC	Solid	Not Available	P08684	CYP3A4	1. Cytochrome P450 3A4		50426497	3286	CHEMBL1201087	49452	Drugs.com Drug Page	GtP Drug Page	HMDB0014393	C08187	D00987			PA448708	54746	46508571	RxList Drug Page	47579	DAP000251	Cabergoline	ZINC000003800008	Dostinex	Cabergoline	Approved	DB00248	InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)/t19-,21-,23-/m1/s1	KORNTPPJEAJQIU-KJXAQDMKSA-N	4	Cabergoline is a dopamine receptor agonist used for the treatment of hyperprolactinemic conditions due to various causes.	Overdosage might be expected to produce nasal congestion, syncope, or hallucinations.	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Inhibitor	Substrate	2.8786 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor					2.6		102-104 °C		Insoluble	1	No	4	2	Yes	4	2	71.68 Å2	52.5 Å3	133.5 m3·mol-1	8	Yes	No	0.064 mg/mL	2.58	-3.8	15.25	9.32	P14416;!P41595;!P35462;!P28223;!P18089;!P28221;!P21917;!P08913;!P08908;!P18825;!P21918;!P21728;!P28222;!P28335;!P34969;!P35348;!P35368;!P25100;!P08588;!P07550;!BE0004889	DRD2;!HTR2B;!DRD3;!HTR2A;!ADRA2B;!HTR1D;!DRD4;!ADRA2A;!HTR1A;!ADRA2C;!DRD5;!DRD1;!HTR1B;!HTR2C;!HTR7;!ADRA1A;!ADRA1B;!ADRA1D;!ADRB1;!ADRB2;!	1. Dopamine D2 receptor;!2. 5-hydroxytryptamine receptor 2B;!3. Dopamine D3 receptor;!4. 5-hydroxytryptamine receptor 2A;!5. Alpha-2B adrenergic receptor;!6. 5-hydroxytryptamine receptor 1D;!7. Dopamine D4 receptor;!8. Alpha-2A adrenergic receptor;!9. 5-hydroxytryptamine receptor 1A;!10. Alpha-2C adrenergic receptor;!11. Dopamine D5 receptor;!12. Dopamine D1 receptor;!13. 5-hydroxytryptamine receptor 1B;!14. 5-hydroxytryptamine receptor 2C;!15. 5-hydroxytryptamine receptor 7;!16. Alpha-1A adrenergic receptor;!17. Alpha-1B adrenergic receptor;!18. Alpha-1D adrenergic receptor;!19. Beta-1 adrenergic receptor;!20. Beta-2 adrenergic receptor;!21. D(1) dopamine receptor (Protein Group)
C19H24N2O	160 +/- 35 mL/h/kg	Approximately 40 hours	296.414	[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2	Solid	8.3 ± 2.5 L/kg	P10635;!P08684;!P05177	CYP2D6;!CYP3A4;!CYP1A2	1. Cytochrome P450 2D6;!2. Cytochrome P450 3A4;!3. Cytochrome P450 1A2		50417287	85161	CHEMBL1189679	4892289	Drugs.com Drug Page				D07175	O7B		PA10352	6337614	46508530	RxList Drug Page	70561	DAP000367	Palonosetron	ZINC000003795819	Akynzeo, Aloxi	Palonosetron	Approved, Investigational	DB00377	InChI=1S/C19H24N2O/c22-19-16-6-2-4-14-3-1-5-15(18(14)16)11-21(19)17-12-20-9-7-13(17)8-10-20/h2,4,6,13,15,17H,1,3,5,7-12H2/t15-,17-/m1/s1	CPZBLNMUGSZIPR-NVXWUHKLSA-N	4	Palonosetron is a serotonin antagonist used in the prophylaxis or management of vomiting that results from emetogenic chemotherapy, and for the management of postoperative nausea and vomiting.	A single intravenous dose of palonosetron at 30 mg/kg (947 and 474 times the human dose for rats and mice, respectively, based on body surface area) was lethal to rats and mice. The major signs of toxicity were convulsions, gasping, pallor, cyanosis and collapse.	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Inhibitor	Inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Inhibitor	Substrate	High CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	2.7383 LD50, mol/kg	Inhibitor	Weak inhibitor	Inhibitor					2.7					1	Yes	2	0	No	5	1	23.55 Å2	33.9 Å3	88.52 m3·mol-1	1	Yes	Yes	0.464 mg/mL	2.55	-2.8		7.97	P46098	HTR3A	1. 5-hydroxytryptamine receptor 3A
C19H21N5O4	In patients with congestive heart failure, the clearance of this drug is decreased. Impairment of renal function does not have relevant effects on elimination 8.	The plasma half-life is about 2-3 hours Label.	383.4011	COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1	Solid	About 0.6 L/kg 11.					29568	8364	CHEMBL2	4724	Drugs.com Drug Page	GtP Drug Page	HMDB0014600	C07368	D08411	XRA		PA451093	4893	46508594	RxList Drug Page	8629	DAP000300	Prazosin	ZINC000095616601	Minipress, Minizide	Prazosin	Approved	DB00457	InChI=1S/C19H21N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22)	IENZQIKPVFGBNW-UHFFFAOYSA-N	4	Prazosin is an alpha-blocker that causes a decrease in total peripheral resistance and is used to treat hypertension.	TDLO, LD50: Oral TDLO (human): 285 μg/kg; Oral TDLO (woman): 10 μg/kg MSDS.Oral LD50 (rat): 1950 mg/kg; Intraperitoneal LD50 (rat): 102 mg/kg MSDS.Overdose informationAccidental ingestion of at least 50 mg of prazosin by a two-year-old child led to severe drowsiness with depressed reflexes. There was no fall in blood pressure, and the child recovered without complication Label. Use in pregnancyThere are no adequate and well-controlled studies determining the safety of prazosin use during pregnancy. It is considered a pregnancy category C drug. Prazosin should be used during pregnancy only in cases where the benefit outweighs the possible risk to the mother and fetus Label. In specific cases where blood pressure control was emergent during pregnancy, prazosin has been used and no effects on the fetus or neonate were reported Label. Use in nursingThis drug is found excreted in small concentrations in human milk. This drug should be used with caution when used during nursing Label.	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	2.3304 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor				638.366	1.3		277-280	6.54	1.4 mg/mL	1	Yes	7	1	No	4	1	106.95 Å2	40.51 Å3	104.5 m3·mol-1	4	Yes	No	0.693 mg/mL	1.65	-2.7		7.24			
C23H25N5O5	The clearance of doxazosin is low and ranges from approximately 1-2 ml/min/kg.4,11	The terminal elimination half-life of doxazosin has been estimated at 9-12 hours according to some resources.4,7 The FDA label indicates the elimination half-life of doxazosin is 22 hours.19	451.4751	COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1	Solid	The volume of distribution of doxazosin is 1.0-1.9 L/kg.7,11 In a study of radiolabeled doxazosin administered to pregnant rats, doxazosin was found to cross the placenta.19	P08684;!P33261;!P11712;!P10635	CYP3A4;!CYP2C19;!CYP2C9;!CYP2D6	1. Cytochrome P450 3A4;!2. Cytochrome P450 2C19;!3. Cytochrome P450 2C9;!4. Cytochrome P450 2D6		86731	4708	CHEMBL707	3045	Drugs.com Drug Page		HMDB0014728	C06970	D07874		PDRhealth Drug Page	PA449407	3157	46506825	RxList Drug Page	49276	DAP000381	Doxazosin		Cardura	Doxazosin	Approved	DB00590	InChI=1S/C23H25N5O5/c1-30-18-11-14-15(12-19(18)31-2)25-23(26-21(14)24)28-9-7-27(8-10-28)22(29)20-13-32-16-5-3-4-6-17(16)33-20/h3-6,11-12,20H,7-10,13H2,1-2H3,(H2,24,25,26)	RUZYUOTYCVRMRZ-UHFFFAOYSA-N	4	Doxazosin is an alpha-1 adrenergic receptor used to treat mild to moderate hypertension and urinary obstruction due to benign prostatic hyperplasia.	LD50 informationThe oral LD50 of doxazosin in mice is >1000 mg/kg.21Overdose informationSymptoms of overdose include hypotension, changes in heart rate, and drowsiness.10 Administer supportive treatment in case of an overdose with doxazosin. Remove unabsorbed doxazosin from the gastrointestinal tract, correct hypotension, and closely monitor vital signs.10	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	2.1954 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor				718	2.1		275-277	6.52	0.8%	1	Yes	9	1	No	5	1	112.27 Å2	47.17 Å3	121.64 m3·mol-1	4	Yes	No	0.79 mg/mL	2.14	-2.8	12.67	7.24			
C22H28N6O3S	Not Available	5.8 hours	456.561	CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2	Solid	Not Available	P08684;!P10635;!P20815;!P24462;!P11712;!P33261	CYP3A4;!CYP2D6;!CYP3A5;!CYP3A7;!CYP2C9;!CYP2C19	1. Cytochrome P450 3A4;!2. Cytochrome P450 2D6;!3. Cytochrome P450 3A5;!4. Cytochrome P450 3A7;!5. Cytochrome P450 2C9;!6. Cytochrome P450 2C19		1944	119573	CHEMBL593	5423	Drugs.com Drug Page		HMDB0014843	C06941		SPP		PA449223	5625	46508878		83816	DAP000183	Delavirdine	ZINC000018516586		Delavirdine	Approved	DB00705	InChI=1S/C22H28N6O3S/c1-15(2)24-19-5-4-8-23-21(19)27-9-11-28(12-10-27)22(29)20-14-16-13-17(26-32(3,30)31)6-7-18(16)25-20/h4-8,13-15,24-26H,9-12H2,1-3H3	WHBIGIKBNXZKFE-UHFFFAOYSA-N	3	Delavirdine is a non-nucleoside reverse transcriptase inhibitor used to treat HIV infection.	Major toxicity of delavirdine is rash and should be advised to promptly notify their physician should rash occur. The majority of rashes associated with delavirdine occur within 1 to 3 weeks after initiating treatment with delavirdine. The rash normally resolves in 3 to 14 days and may be treated symptomatically while therapy with delavirdine is continued. Any patient experiencing severe rash or rash accompanied by symptoms such as fever, blistering, oral lesions, conjunctivitis, swelling, muscle or joint aches should discontinue medication and consult a physician.	Small Molecule	http://smpdb.ca/view/SMP0000738?highlight[compounds][]=DB00705&highlight[proteins][]=DB00705	Delavirdine Action Pathway		Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Inhibitor	Non-substrate	Non-inhibitor	Substrate	Non-inhibitor	Substrate	High CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	2.5840 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor					2.8		226-228 °C			1	Yes	6	3	No	4	0	110.43 Å2	49.99 Å3	126.64 m3·mol-1	5	Yes	No	0.086 mg/mL	1.02	-3.7	9.39	6.82	Q72547	pol	1. Reverse transcriptase/RNaseH
C19H25N5O4	Plasma clearance is 80mL/min and renal clearance is 10mL/min1.	Terazosin has a mean half life 12 hours though this can be as high as 14 hours in patients over 70 years and as low as 11.4 hours in patients 20 to 39 years oldLabel1.	387.4329	COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1	Solid	25L to 30L1.					50033111	9445	CHEMBL611	5208	Drugs.com Drug Page		HMDB0015293	C07127	D08569			PA451612	5401	46509129	RxList Drug Page	37798	DAP000371	Terazosin			Terazosin	Approved	DB01162	InChI=1S/C19H25N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h10-11,14H,3-9H2,1-2H3,(H2,20,21,22)	VCKUSRYTPJJLNI-UHFFFAOYSA-N	4	Terazosin is an alpha-1 adrenergic antagonist used in the treatment of symptomatic benign prostatic hyperplasia and management of hypertension.	In the event of an overdose, patients may experience hypotensionLabel. Blood pressure and heart rate should be controlled by having the patient lie down or by treating with volume expanders or if necessary vasopressorsLabel. Patients should be monitored for renal functionLabel. Because terazosin is highly protein bound, dialysis is unlikely to provide benefit to overdosing patientsLabel.The oral LD50 in mice is 5500mg/kgMSDS.	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	2.2262 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor							271-274			1	Yes	8	1	No	4	1	103.04 Å2	41.28 Å3	105.18 m3·mol-1	4	Yes	No	1.5 mg/mL	1.18	-2.4	19.93	7.24			
C31H42N6O4	Not Available	Not Available	562.703	COC1=C(OCCCN2CCCCC2)C=C2N=CN=C(N3CCN(CC3)C(=O)NC3=CC=C(OC(C)C)C=C3)C2=C1	Solid	Not Available					13535	90237	CHEMBL124660	2302085									3038522	175427013					ZINC000003966243		Tandutinib	Investigational	DB05465	InChI=1S/C31H42N6O4/c1-23(2)41-25-10-8-24(9-11-25)34-31(38)37-17-15-36(16-18-37)30-26-20-28(39-3)29(21-27(26)32-22-33-30)40-19-7-14-35-12-5-4-6-13-35/h8-11,20-23H,4-7,12-19H2,1-3H3,(H,34,38)	UXXQOJXBIDBUAC-UHFFFAOYSA-N	2		Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	High CYP Inhibitory Promiscuity	+	Non-carcinogens	+	Inhibitor	Inhibitor	Substrate	2.2288 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor										1	No	8	1	Yes	5	1	92.29 Å2	64.1 Å3	162.58 m3·mol-1	10	No	No	0.0753 mg/mL	4.34	-3.9	14.01	9.03			
C22H22N4O5	Not Available	Not Available	422.441	COC1=C2C(NC=C2C(=O)C(=O)N2CCN(CC2)C(=O)C2=CC=CC=C2)=C(OC)N=C1	Solid	Not Available					50228465		CHEMBL238103	443361															ZINC000028826898		BMS-488043	Investigational	DB05532	InChI=1S/C22H22N4O5/c1-30-16-13-24-20(31-2)18-17(16)15(12-23-18)19(27)22(29)26-10-8-25(9-11-26)21(28)14-6-4-3-5-7-14/h3-7,12-13,23H,8-11H2,1-2H3	DBPMWRYLTBNCCE-UHFFFAOYSA-N			Not Available	Small Molecule																																			1	Yes	6	1	No	4	0	104.83 Å2	43.35 Å3	113.03 m3·mol-1	5	Yes	No	0.0992 mg/mL	1.22	-3.6	8.6	2.35	Q5NUL3	FFAR4	1. Free fatty acid receptor 4
C22H31FN6O2	Not Available	Not Available	430.5189	[H][C@@](N)(C(=O)N1CC[C@]([H])(F)C1)[C@@]([H])(C(=O)N(C)C)[C@@]1([H])CC[C@@]([H])(CC1)C1=CC=CC2=NC=NN12	Solid	Not Available					50221979		CHEMBL400841	24684686						524			11495704	99443606					ZINC000100071163		(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE	Experimental	DB07135	InChI=1S/C22H31FN6O2/c1-27(2)21(30)19(20(24)22(31)28-11-10-16(23)12-28)15-8-6-14(7-9-15)17-4-3-5-18-25-13-26-29(17)18/h3-5,13-16,19-20H,6-12,24H2,1-2H3/t14-,15-,16-,19-,20-/m0/s1	ZPWDKZWKUOYOHA-UKSSEWCLSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	2.6631 LD50, mol/kg	Inhibitor	Weak inhibitor	Inhibitor										1	Yes	5	1	No	4	1	96.83 Å2	45.69 Å3	125.95 m3·mol-1	5	Yes	No	0.152 mg/mL	0.81	-3.4	18.94	7.39			
C21H27N7O	Not Available	Not Available	393.4854	C1CCC(CC1)NC1=NC(NC2=CC=C(C=C2)N2CCOCC2)=NC2=C1N=CN2	Solid	Not Available					50170831	70723	CHEMBL188343	182286						AD5			210332	99443811				Reversine	ZINC000003620786		Reversine	Experimental	DB07340	InChI=1S/C21H27N7O/c1-2-4-15(5-3-1)24-20-18-19(23-14-22-18)26-21(27-20)25-16-6-8-17(9-7-16)28-10-12-29-13-11-28/h6-9,14-15H,1-5,10-13H2,(H3,22,23,24,25,26,27)	ZFLJHSQHILSNCM-UHFFFAOYSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	2.3133 LD50, mol/kg	Non-inhibitor	Strong inhibitor	Inhibitor										1	Yes	7	3	No	5	0	90.99 Å2	43.91 Å3	115.04 m3·mol-1	5	Yes	No	0.0355 mg/mL	3.58	-4	9.71	4.37	Q96GD4;!Q9NQS7	AURKB;!INCENP	1. Aurora kinase B;!2. Inner centromere protein
C12H11ClN6	Not Available	Not Available	274.709	ClC1=CNC2=C1C(=NC=N2)N1CCC2=C(C1)N=CN2	Solid	Not Available					24845	90625	CHEMBL259833	22376891						CQW			24798742	99444056					ZINC000016052800		5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine	Experimental	DB07585	InChI=1S/C12H11ClN6/c13-7-3-14-11-10(7)12(18-6-17-11)19-2-1-8-9(4-19)16-5-15-8/h3,5-6H,1-2,4H2,(H,15,16)(H,14,17,18)	YFFJXGRXFASBDL-UHFFFAOYSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Inhibitor	Non-substrate	Non-inhibitor	Substrate	High CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Inhibitor	Substrate	2.8092 LD50, mol/kg	Inhibitor	Weak inhibitor	Inhibitor										1	Yes	4	2	No	4	0	73.49 Å2	26.86 Å3	73.65 m3·mol-1	1	Yes	No	0.117 mg/mL	1.24	-3.4	12.01	6.65	P31749;!P49841	AKT1;!GSK3B	1. RAC-alpha serine/threonine-protein kinase;!2. Glycogen synthase kinase-3 beta
C18H20ClN5	Not Available	Not Available	341.838	NCC1(CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=C(Cl)C=C1	Solid	Not Available					50376063		CHEMBL406863	22377580						M03			24762195	99444619					ZINC000016052627		1-[4-(4-chlorophenyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine	Experimental	DB08148	InChI=1S/C18H20ClN5/c19-14-3-1-13(2-4-14)18(11-20)6-9-24(10-7-18)17-15-5-8-21-16(15)22-12-23-17/h1-5,8,12H,6-7,9-11,20H2,(H,21,22,23)	QOZMRRGNAZNWDN-UHFFFAOYSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Inhibitor	Non-substrate	Non-inhibitor	Non-substrate	High CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Inhibitor	Substrate	2.9019 LD50, mol/kg	Inhibitor	Weak inhibitor	Inhibitor										1	Yes	4	2	No	4	2	70.83 Å2	37.12 Å3	98 m3·mol-1	3	Yes	No	0.0518 mg/mL	3.01	-3.8	13.57	9.45	P17612;!P61925	PRKACA;!PKIA	1. cAMP-dependent protein kinase catalytic subunit alpha;!2. cAMP-dependent protein kinase inhibitor alpha
C19H22ClN5	Not Available	Not Available	355.864	NCC1(CC2=CC=C(Cl)C=C2)CCN(CC1)C1=C2C=CNC2=NC=N1	Solid	Not Available					50376067		CHEMBL260000	9870838						M04			11696113	99444620					ZINC000016052628		1-[4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine	Experimental	DB08149	InChI=1S/C19H22ClN5/c20-15-3-1-14(2-4-15)11-19(12-21)6-9-25(10-7-19)18-16-5-8-22-17(16)23-13-24-18/h1-5,8,13H,6-7,9-12,21H2,(H,22,23,24)	KCWPSUKJCKZEAO-UHFFFAOYSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Inhibitor	Non-substrate	Non-inhibitor	Non-substrate	High CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Inhibitor	Substrate	2.9019 LD50, mol/kg	Inhibitor	Weak inhibitor	Inhibitor										1	Yes	4	2	No	4	2	70.83 Å2	38.49 Å3	102.6 m3·mol-1	4	Yes	No	0.0263 mg/mL	3.45	-4.1	13.58	9.72	P17612;!P61925	PRKACA;!PKIA	1. cAMP-dependent protein kinase catalytic subunit alpha;!2. cAMP-dependent protein kinase inhibitor alpha
C18H21ClN5	Not Available	Not Available	342.846	[NH3+]C1(CC2=CC=C(Cl)C=C2)CCN(CC1)C1=C2C=CNC2=NC=N1	Solid	Not Available								22377581						M05			42627562	99444621							4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-aminium	Experimental	DB08150	InChI=1S/C18H20ClN5/c19-14-3-1-13(2-4-14)11-18(20)6-9-24(10-7-18)17-15-5-8-21-16(15)22-12-23-17/h1-5,8,12H,6-7,9-11,20H2,(H,21,22,23)/p+1	RZIDZIGAXXNODG-UHFFFAOYSA-O			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Inhibitor	Non-substrate	Non-inhibitor	Substrate	High CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Inhibitor	Substrate	2.8687 LD50, mol/kg	Inhibitor	Weak inhibitor	Inhibitor										1	Yes	3	2	No	4	2	72.45 Å2	36.96 Å3	109.24 m3·mol-1	3	Yes	No	0.00715 mg/mL	2.97	-4.7	13.59	9.85	P17612;!P61925	PRKACA;!PKIA	1. cAMP-dependent protein kinase catalytic subunit alpha;!2. cAMP-dependent protein kinase inhibitor alpha
C22H25FN6O2	Not Available	Not Available	424.4713	[H][C@@](N)(C(=O)N1CC[C@]([H])(F)C1)[C@@]([H])(C(=O)N(C)C)C1=CC=C(C=C1)C1=CN2N=CN=C2C=C1	Solid	Not Available					50221972		CHEMBL237337	8495608						S14			10320144	99444975					ZINC000014947659		6-(4-{(1S,2S)-2-AMINO-1-[(DIMETHYLAMINO)CARBONYL]-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-3-OXOPROPYL}PHENYL)-1H-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-4-IUM	Experimental	DB08504	InChI=1S/C22H25FN6O2/c1-27(2)21(30)19(20(24)22(31)28-10-9-17(23)12-28)15-5-3-14(4-6-15)16-7-8-18-25-13-26-29(18)11-16/h3-8,11,13,17,19-20H,9-10,12,24H2,1-2H3/t17-,19-,20-/m0/s1	ZNHVIJAGMFQGMS-IHPCNDPISA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Substrate	2.6436 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor										1	Yes	5	1	No	4	0	96.83 Å2	44.19 Å3	125.43 m3·mol-1	5	Yes	No	0.109 mg/mL	0.73	-3.6	18.09	6.94			
